"URN","Linked UID","Group Name","Companies House Number","Group Type","Closed Date","Group Status","FederationType","Joined date","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","PhaseOfEducation (code)","PhaseOfEducation (name)","LA (code)","LA (name)","HasSharedHT"
135071,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2005","Salford City Academy","28","Academy sponsor led","4","Secondary","355","Salford"
135071,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2005","Salford City Academy","28","Academy sponsor led","4","Secondary","355","Salford"
135073,3279,"HABERDASHERS' ASKE'S FEDERATION TRUST","02535091","Multi-academy trust","","Open","","01-09-2005","Haberdashers' Aske's Hatcham College","28","Academy sponsor led","7","All through","209","Lewisham"
135073,3278,"The Haberdashers' Livery Company","","School sponsor","","Open","","01-09-2005","Haberdashers' Aske's Hatcham College","28","Academy sponsor led","7","All through","209","Lewisham"
135120,3683,"Landau Forte Charitable Trust","","School sponsor","","Open","","01-09-2006","Landau Forte College","28","Academy sponsor led","4","Secondary","831","Derby"
135120,3684,"LANDAU FORTE CHARITABLE TRUST","02387916","Multi-academy trust","","Open","","01-09-2006","Landau Forte College","28","Academy sponsor led","4","Secondary","831","Derby"
135149,16830,"THOMAS TELFORD MULTI ACADEMY TRUST","04798185","Multi-academy trust","","Open","","01-09-2017","Madeley Academy","28","Academy sponsor led","4","Secondary","894","Telford and Wrekin"
135149,5058,"Thomas Telford School","","School sponsor","","Open","Hard","01-09-2017","Madeley Academy","28","Academy sponsor led","4","Secondary","894","Telford and Wrekin"
135170,2744,"SHIRELAND COLLEGIATE ACADEMY TRUST","06336693","Multi-academy trust","","Open","","01-09-2007","Shireland Collegiate Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
135170,4511,"Shireland Collegiate Academy Trust","","School sponsor","","Open","Hard","01-09-2007","Shireland Collegiate Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
135174,3180,"Girls' Day School Trust (GDST)","","School sponsor","","Open","","01-09-2007","The Belvedere Academy","28","Academy sponsor led","4","Secondary","341","Liverpool"
135174,3166,"GDST ACADEMY TRUST","06000347","Multi-academy trust","","Open","","01-09-2007","The Belvedere Academy","28","Academy sponsor led","4","Secondary","341","Liverpool"
135176,4075,"Oasis Community Learning","","School sponsor","","Open","","01-09-2007","Oasis Academy Immingham","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
135176,4076,"OASIS COMMUNITY LEARNING","05398529","Multi-academy trust","","Open","","01-09-2007","Oasis Academy Immingham","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
135209,4075,"Oasis Community Learning","","School sponsor","","Open","","01-09-2007","Oasis Academy Wintringham","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
135209,4076,"OASIS COMMUNITY LEARNING","05398529","Multi-academy trust","","Open","","01-09-2007","Oasis Academy Wintringham","28","Academy sponsor led","4","Secondary","812","North East Lincolnshire"
